# [l(l+1)/2pi] C_l's for tensor mode (units: [microK]^2)
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
  147       1.069581764515e-02       7.147060382073e-05       3.331733885953e-05      -5.200019245445e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  148       1.009281231530e-02       7.037059105809e-05       3.261878457442e-05      -4.871491211771e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  149       9.527206439552e-03       6.926272851580e-05       3.192835932485e-05      -4.551005282659e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  150       8.997884164305e-03       6.814796292459e-05       3.124650857736e-05      -4.238676373080e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  151       8.503658274911e-03       6.702724649042e-05       3.057365990996e-05      -3.934604801311e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  152       8.043480233979e-03       6.590151159760e-05       2.991022221817e-05      -3.638885294970e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  153       7.616244634609e-03       6.477169343697e-05       2.925658525826e-05      -3.351597969242e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  154       7.220779592310e-03       6.363873028140e-05       2.861311951520e-05      -3.072808063666e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  155       6.856029238161e-03       6.250354025905e-05       2.798017691913e-05      -2.802575256519e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  156       6.520883462846e-03       6.136704206789e-05       2.735808901805e-05      -2.540944376696e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  157       6.214185970092e-03       6.023015296306e-05       2.674716741659e-05      -2.287946359741e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  158       5.934943883357e-03       5.909376055366e-05       2.614770772857e-05      -2.043611600366e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  159       5.682133097262e-03       5.795874800924e-05       2.555998481007e-05      -1.807957007170e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  160       5.454629898594e-03       5.682600258363e-05       2.498425071603e-05      -1.580981271504e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  161       5.251281235560e-03       5.569640541011e-05       2.442073705453e-05      -1.362670159442e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  162       5.071126353915e-03       5.457080043590e-05       2.386966356022e-05      -1.153013757694e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  163       4.913191351610e-03       5.345002221493e-05       2.333122912059e-05      -9.519899914966e-05       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  164       4.776417352946e-03       5.233490528587e-05       2.280560829222e-05      -7.595586948850e-05       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  165       4.659721340108e-03       5.122627508094e-05       2.229295501626e-05      -5.756672938460e-05       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  166       4.562187691662e-03       5.012492042922e-05       2.179341537165e-05      -4.002691950597e-05       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  167       4.482890389035e-03       4.903161806749e-05       2.130711479092e-05      -2.333062731223e-05       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  168       4.420830955856e-03       4.794714085406e-05       2.083415327841e-05      -7.470260777034e-06       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  169       4.374993871228e-03       4.687224940715e-05       2.037461045366e-05       7.562931482110e-06       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  170       4.344520625361e-03       4.580766696662e-05       1.992856236462e-05       2.177686793347e-05       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
